"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",132,58,0.439,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",392,137,0.349,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",418,158,0.378,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",138,51,0.37,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",612,226,0.369,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",579,232,0.401,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",384,158,0.411,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",565,219,0.388,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",480,204,0.425,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",555,223,0.402,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",3949,2297,0.582,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",373,138,0.37,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",4,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",379,113,0.298,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",890,300,0.337,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",835,268,0.321,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",23,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",503,215,0.427,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1205,450,0.373,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",172,68,0.395,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",173,73,0.422,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",438,166,0.379,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",522,187,0.358,2
